sport,match_id,date,team_1,team_1_odds,team_2,team_2_odds,draw_odds,event,bet_type,snapshot_date
Dota 2,liquid_falcons_jul_21,jul_21,liquid,2.73,falcons,1.43,,riyadh_masters,match_winner,2024_07_21
Dota 2,one_move_nemiga_jul_21,jul_21,one_move,3.36,nemiga,3.61,1.86,res_regional_series_europe,match_winner_1x2_,2024_07_21
Dota 2,night_pulse_navi_junior_jul_22,jul_22,night_pulse,3.62,navi_junior,3.35,1.86,res_regional_series_europe,match_winner_1x2_,2024_07_21
Leage of Legends,winthrop_university_liquid_challengers_jul_21,jul_21,winthrop_university,4.64,liquid_challengers,1.14,,nacl,match_winner,2024_07_21
Leage of Legends,bnk_fearx_kt_rolster_jul_21,jul_21,bnk_fearx,4.04,kt_rolster,1.22,,lck,match_winner,2024_07_21
Leage of Legends,nongshim_redforce_drx_jul_21,jul_21,nongshim_redforce,1.79,drx,1.96,,lck,match_winner,2024_07_21
Leage of Legends,team_we_ultra_prime_jul_21,jul_21,team_we,1.34,ultra_prime,3.17,,lpl,match_winner,2024_07_21
Leage of Legends,ultra_prime_academy_funplus_phoenix_blaze_jul_21,jul_21,ultra_prime_academy,1.57,funplus_phoenix_blaze,2.19,,ldl,match_winner,2024_07_21
Leage of Legends,j_team_west_point_ph_jul_21,jul_21,j_team,1.46,west_point_ph,2.45,,pcs,match_winner,2024_07_21
Leage of Legends,lng_funplus_phoenix_jul_21,jul_21,lng,1.25,funplus_phoenix,3.84,,lpl,match_winner,2024_07_21
Leage of Legends,deep_cross_psg_talon_jul_21,jul_21,deep_cross,9.30,psg_talon,1.03,,pcs,match_winner,2024_07_21
Leage of Legends,heretics_giantx_jul_21,jul_21,heretics,1.72,giantx,2.05,,lec,match_winner,2024_07_21
Leage of Legends,fluxo_intz_jul_21,jul_21,fluxo,1.78,intz,1.97,,cblol,match_winner,2024_07_21
Leage of Legends,vivo_keyd_stars_loud_jul_21,jul_21,vivo_keyd_stars,1.56,loud,2.34,,cblol,match_winner,2024_07_21
Leage of Legends,mad_lions_koi_karmine_corp_jul_21,jul_21,mad_lions_koi,1.76,karmine_corp,1.99,,lec,match_winner,2024_07_21
Leage of Legends,furia_liberty_jul_21,jul_21,furia,1.26,liberty,3.65,,cblol,match_winner,2024_07_21
Leage of Legends,red_canids_los_jul_21,jul_21,red_canids,1.27,los,3.57,,cblol,match_winner,2024_07_21
Leage of Legends,cloud9_100_thieves_jul_21,jul_21,cloud9,1.21,100_thieves,4.16,,lcs,match_winner,2024_07_21
Leage of Legends,kabum_pain_jul_21,jul_21,kabum,3.11,pain,1.34,,cblol,match_winner,2024_07_21
Leage of Legends,nrg_shopify_rebellion_jul_21,jul_21,nrg,1.20,shopify_rebellion,4.26,,lcs,match_winner,2024_07_21
Leage of Legends,ccg_fear_x_starforge_jul_22,jul_22,ccg,4.40,fear_x_starforge,1.16,,nacl,match_winner,2024_07_21
Leage of Legends,supernova_flyquest_nzxt_jul_22,jul_22,supernova,2.82,flyquest_nzxt,1.35,,nacl,match_winner,2024_07_21
Leage of Legends,t1_academy_nongshim_redforce_academy_jul_22,jul_22,t1_academy,1.24,nongshim_redforce_academy,3.51,,lck_cl,match_winner,2024_07_21
Leage of Legends,dplus_kia_challengers_kwangdong_freecs_challengers_jul_22,jul_22,dplus_kia_challengers,1.35,kwangdong_freecs_challengers,2.84,,lck_cl,match_winner,2024_07_21
Leage of Legends,ground_zero_bliss_jul_22,jul_22,ground_zero,1.10,bliss,5.47,,lco,match_winner,2024_07_21
Leage of Legends,royal_never_give_up_rare_atom_jul_22,jul_22,royal_never_give_up,4.05,rare_atom,1.23,,lpl,match_winner,2024_07_21
Leage of Legends,kt_rolster_challengers_drx_challengers_jul_22,jul_22,kt_rolster_challengers,1.11,drx_challengers,5.39,,lck_cl,match_winner,2024_07_21
Valorant,gen_g_drx_jul_21,jul_21,gen_g,1.31,drx,3.08,,champions_tour_pacific,match_winner,2024_07_21
Valorant,saw_ppp_jul_21,jul_21,saw,1.49,ppp,2.41,,challengers_portugal,match_winner,2024_07_21
Valorant,joblife_valiant_jul_21,jul_21,joblife,1.70,valiant,2.01,,challengers_france,match_winner,2024_07_21
Valorant,pcific_galakticos_jul_21,jul_21,pcific,1.84,galakticos,1.84,,challengers_turkey,match_winner,2024_07_21
Valorant,galatasaray_papara_supermassive_jul_21,jul_21,galatasaray,2.67,papara_supermassive,1.41,,challengers_turkey,match_winner,2024_07_21
Valorant,m80_tsm_jul_22,jul_22,m80,1.30,tsm,3.12,,challengers_north_america,match_winner,2024_07_21
Valorant,oxygen_sad_jul_22,jul_22,oxygen,1.14,sad,4.78,,challengers_north_america,match_winner,2024_07_21
Valorant,apeks_onlyfins_jul_23,jul_23,apeks,1.07,onlyfins,6.10,,challengers_northern_europe,match_winner,2024_07_21
Valorant,sweetnsour_requiem_jul_23,jul_23,sweetnsour,2.06,requiem,1.63,,challengers_northern_europe,match_winner,2024_07_21
Valorant,moist_x_shopify_fluffy_aimers_jul_23,jul_23,moist_x_shopify,1.48,fluffy_aimers,2.44,,challengers_north_america,match_winner,2024_07_21
Valorant,darkzero_blinn_jul_23,jul_23,darkzero,1.49,blinn,2.39,,challengers_north_america,match_winner,2024_07_21
Valorant,bigetron_arctic_alter_ego_jul_24,jul_24,bigetron_arctic,2.25,alter_ego,1.56,,challengers_indonesia,match_winner,2024_07_21
Valorant,the_hero_deta_cynical_jul_24,jul_24,the_hero_deta,1.56,cynical,2.23,,challengers_indonesia,match_winner,2024_07_21
Valorant,acend_gonext_jul_25,jul_25,acend,2.27,gonext,1.60,,challengers_east,match_winner,2024_07_21
Valorant,diamant_trashcan_jul_25,jul_25,diamant,1.49,trashcan,2.41,,challengers_east,match_winner,2024_07_21
Valorant,dsyre_novo_jul_26,jul_26,dsyre,1.06,novo,7.61,,challengers_italy,match_winner,2024_07_21
Valorant,sengoku_fennel_jul_27,jul_27,sengoku,2.72,fennel,1.39,,challengers_japan,match_winner,2024_07_21
CS:GO,gameinside_seight_jul_21,jul_21,gameinside,1.70,seight,2.01,,esports_battle,match_winner,2024_07_21
CS:GO,seight_gameinside_jul_21,jul_21,seight,2.01,gameinside,1.70,,esports_battle,match_winner,2024_07_21
CS:GO,rembaza_nightraid_jul_21,jul_21,rembaza,2.27,nightraid,1.55,,esports_battle,match_winner,2024_07_21
CS:GO,astralis_talent_k10_jul_21,jul_21,astralis_talent,1.82,k10,1.86,,cct_europe_play_in,match_winner,2024_07_21
CS:GO,nightraid_rembaza_jul_21,jul_21,nightraid,1.55,rembaza,2.27,,esports_battle,match_winner,2024_07_21
CS:GO,g2_natus_vincere_jul_21,jul_21,g2,1.75,natus_vincere,2.03,,esports_world_cup,match_winner,2024_07_21
CS:GO,eternal_fire_revenant_jul_23,jul_23,eternal_fire,1.23,revenant,3.99,,skyesports_championship,match_winner,2024_07_21
CS:GO,aurora_parivision_jul_23,jul_23,aurora,1.47,parivision,2.60,,skyesports_championship,match_winner,2024_07_21
CS:GO,bb_team_dms_jul_23,jul_23,bb_team,1.17,dms,4.80,,skyesports_championship,match_winner,2024_07_21
CS:GO,3dmax_amkal_jul_23,jul_23,3dmax,1.59,amkal,2.30,,skyesports_championship,match_winner,2024_07_21
CS:GO,ence_bleed_jul_23,jul_23,ence,1.92,bleed,1.84,,skyesports_championship,match_winner,2024_07_21
CS:GO,the_mongolz_parivision_jul_23,jul_23,the_mongolz,1.39,parivision,2.87,,skyesports_championship,match_winner,2024_07_21
CS:GO,eternal_fire_dms_jul_23,jul_23,eternal_fire,1.14,dms,5.56,,skyesports_championship,match_winner,2024_07_21
CS:GO,revenant_amkal_jul_23,jul_23,revenant,2.37,amkal,1.56,,skyesports_championship,match_winner,2024_07_21
CS:GO,true_rippers_bleed_jul_23,jul_23,true_rippers,12.86,bleed,1.02,,skyesports_championship,match_winner,2024_07_21
CS:GO,hype_oddik_jul_23,jul_23,hype,2.75,oddik,1.38,,esl_challenger_league_south_america,match_winner,2024_07_21
CS:GO,oddik_hype_jul_23,jul_23,oddik,1.45,hype,2.52,,esl_challenger_league_south_america,match_winner,2024_07_21
